,FD_SNP_bayP,FD_SNP_uncor,FD_TC_bayP,FD_TC_uncor,FD_WZA_bayP,FD_WZA_empR,FD_WZA_uncor,PCE_SNP_bayP,PCE_SNP_uncor,PCE_TC_bayP,PCE_TC_uncor,PCE_WZA_bayP,PCE_WZA_empR,PCE_WZA_uncor,TP_SNP_bayP,TP_SNP_uncor,TP_TC_bayP,TP_TC_uncor,TP_WZA_bayP,TP_WZA_empR,TP_WZA_uncor,rep,top
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1188974965716181,0.11701147936902401,0.1188974965716181,0.1188974965716181,0.1188974965716181,0.0,0.0,0.125,0.125,0.125,0.125,0.125,1,1
1,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.11518950085760257,0.1188974965716181,0.2359089759406421,0.253929127342621,0.2359089759406421,0.2359089759406421,0.0,0.125,0.125,0.25,0.25,0.25,0.25,1,2
2,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.11518950085760257,0.1188974965716181,0.370940606711645,0.253929127342621,0.370940606711645,0.2359089759406421,0.0,0.125,0.125,0.375,0.25,0.375,0.25,1,3
3,1.0,0.75,0.5,0.0,0.5,0.25,0.5,0.0,0.11518950085760257,0.253929127342621,0.5026940001154012,0.253929127342621,0.370940606711645,0.2359089759406421,0.0,0.125,0.25,0.5,0.25,0.375,0.25,1,4
4,1.0,0.6,0.6,0.2,0.6,0.4,0.4,0.0,0.23408699742922068,0.253929127342621,0.5026940001154012,0.253929127342621,0.370940606711645,0.370940606711645,0.0,0.25,0.25,0.5,0.25,0.375,0.375,1,5
5,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.0,0.23408699742922068,0.253929127342621,0.5026940001154012,0.253929127342621,0.5026940001154012,0.370940606711645,0.0,0.25,0.25,0.5,0.25,0.5,0.375,1,6
6,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.11518950085760257,0.23408699742922068,0.253929127342621,0.5026940001154012,0.253929127342621,0.5026940001154012,0.370940606711645,0.125,0.25,0.25,0.5,0.25,0.5,0.375,1,7
7,0.875,0.75,0.75,0.5,0.75,0.375,0.5,0.11518950085760257,0.23408699742922068,0.253929127342621,0.5026940001154012,0.253929127342621,0.6178835009730037,0.5026940001154012,0.125,0.25,0.25,0.5,0.25,0.625,0.5,1,8
8,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.4444444444444444,0.5555555555555556,0.11518950085760257,0.23408699742922068,0.253929127342621,0.5026940001154012,0.253929127342621,0.6178835009730037,0.5026940001154012,0.125,0.25,0.25,0.5,0.25,0.625,0.5,1,9
9,0.9,0.8,0.8,0.6,0.8,0.5,0.6,0.11518950085760257,0.23408699742922068,0.253929127342621,0.5026940001154012,0.253929127342621,0.6178835009730037,0.5026940001154012,0.125,0.25,0.25,0.5,0.25,0.625,0.5,1,10
