,FD_SNP_bayP,FD_SNP_uncor,FD_TC_bayP,FD_TC_uncor,FD_WZA_bayP,FD_WZA_empR,FD_WZA_uncor,PCE_SNP_bayP,PCE_SNP_uncor,PCE_TC_bayP,PCE_TC_uncor,PCE_WZA_bayP,PCE_WZA_empR,PCE_WZA_uncor,TP_SNP_bayP,TP_SNP_uncor,TP_TC_bayP,TP_TC_uncor,TP_WZA_bayP,TP_WZA_empR,TP_WZA_uncor,rep,top
285,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.8611111111111112,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.3334932842391092,0.9345511184572929,0.7806719762920342,1.0,0.7806719762920342,0.7152230947493272,0.7152230947493272,0.4,0.8,0.8,1.0,0.8,0.6,0.6,6,36
286,0.9459459459459459,0.8918918918918919,0.8918918918918919,0.8648648648648649,0.8918918918918919,0.918918918918919,0.918918918918919,0.3334932842391092,0.9345511184572929,0.7806719762920342,1.0,0.7806719762920342,0.7152230947493272,0.7152230947493272,0.4,0.8,0.8,1.0,0.8,0.6,0.6,6,37
287,0.9473684210526315,0.8947368421052632,0.8947368421052632,0.868421052631579,0.8947368421052632,0.9210526315789473,0.9210526315789473,0.3334932842391092,0.9345511184572929,0.7806719762920342,1.0,0.7806719762920342,0.7152230947493272,0.7152230947493272,0.4,0.8,0.8,1.0,0.8,0.6,0.6,6,38
288,0.9487179487179487,0.8974358974358975,0.8974358974358975,0.8717948717948718,0.8974358974358975,0.9230769230769231,0.9230769230769231,0.3334932842391092,0.9345511184572929,0.7806719762920342,1.0,0.7806719762920342,0.7152230947493272,0.7152230947493272,0.4,0.8,0.8,1.0,0.8,0.6,0.6,6,39
289,0.95,0.9,0.9,0.875,0.9,0.925,0.925,0.3334932842391092,0.9345511184572929,0.7806719762920342,1.0,0.7806719762920342,0.7152230947493272,0.7152230947493272,0.4,0.8,0.8,1.0,0.8,0.6,0.6,6,40
290,0.9512195121951219,0.9024390243902439,0.9024390243902439,0.8780487804878049,0.9024390243902439,0.926829268292683,0.926829268292683,0.3334932842391092,0.9345511184572929,0.7806719762920342,1.0,0.7806719762920342,0.7152230947493272,0.7152230947493272,0.4,0.8,0.8,1.0,0.8,0.6,0.6,6,41
291,0.9523809523809523,0.9047619047619048,0.9047619047619048,0.8809523809523809,0.9047619047619048,0.9285714285714286,0.9285714285714286,0.3334932842391092,0.9345511184572929,0.7806719762920342,1.0,0.7806719762920342,0.7152230947493272,0.7152230947493272,0.4,0.8,0.8,1.0,0.8,0.6,0.6,6,42
292,0.9534883720930233,0.9069767441860465,0.9069767441860465,0.8837209302325582,0.9069767441860465,0.9302325581395349,0.9302325581395349,0.3334932842391092,0.9345511184572929,0.7806719762920342,1.0,0.7806719762920342,0.7152230947493272,0.7152230947493272,0.4,0.8,0.8,1.0,0.8,0.6,0.6,6,43
293,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.8863636363636364,0.9090909090909091,0.9318181818181818,0.9318181818181818,0.3334932842391092,0.9345511184572929,0.7806719762920342,1.0,0.7806719762920342,0.7152230947493272,0.7152230947493272,0.4,0.8,0.8,1.0,0.8,0.6,0.6,6,44
294,0.9333333333333333,0.9111111111111111,0.9111111111111111,0.8888888888888888,0.9111111111111111,0.9333333333333333,0.9333333333333333,0.4385958659529298,0.9345511184572929,0.7806719762920342,1.0,0.7806719762920342,0.7152230947493272,0.7152230947493272,0.6,0.8,0.8,1.0,0.8,0.6,0.6,6,45
